"schema_name","file_count","ncols","earliest_latest_commit","latest_latest_commit","example_file","schema"
"schema_1",891,26,2023-11-02 17:16:20,2026-09-03 20:38:56,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_checked_raw/Acridotheres_tristis_AH_EP.csv","BOW_evidence | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | other_species1 | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_2",210,24,2022-12-07 17:56:33,2026-08-24 15:10:47,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_checked_raw/acanthis_flammea.csv","BOW_evidence | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_3",92,22,2025-10-01 16:20:40,2026-09-17 15:28:50,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_checked_raw/Aimophila_rufescens_LB_LM.csv","breeding_migration | DatabaseSearchURL | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | interaction_strength | name_changes | other_species1 | recorder | source_citation | source_URL | species1_common | species1_lifestage | species1_scientific | species2_common | species2_lifestage | species2_scientific | text_excerpt | time_of_year | uncertain_interaction"
"schema_4",25,27,2026-08-24 15:10:47,2026-09-17 15:28:50,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_checked_raw/Dendrortyx_leucophrys_AF_LB.csv","BOW_evidence | DatabaseSearchURL | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | other_species1 | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_5",23,25,2024-06-01 19:48:34,2026-08-24 15:10:47,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_checked_raw/Anhinga_anhinga_IH_EP.csv","BOW_evidence | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_6",12,27,2026-08-24 15:10:47,2026-08-24 15:10:47,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_checked_raw/Phaethornis_striigularis_CR.csv","BOW_evidence | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | GoogleScholarURL | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | OLDsourceA | OLDsourceB | other_species1 | recorder | sourceAupdatedURL | sourceBupdatedURL | sourceCupdatedURL | sourceDupdatedURL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_7",12,27,2026-08-24 15:10:47,2026-09-17 15:18:51,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_to_check/Amaurospiza_concolor_VS.csv","country | DatabaseSearchURL | effect_tx1_on_tx2 | effect_tx2_on_tx1 | entry_changes | entry_date | interaction | interaction_excerpt | interaction_strength | location | name_changes | recorder | source_citation | source_URL | taxa1_common | taxa1_lifestage | taxa1_scientific | taxa2_common | taxa2_lifestage | taxa2_scientific | time_of_year | timing_location_excerpt | tx1_life_history_season | tx2_life_history_season | uncertain_interaction | version | year"
"schema_8",6,25,2025-02-20 20:46:20,2026-09-09 20:22:59,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_to_check/Cyanoramphus_ malherbi_AJ.csv","BOW_evidence | DatabaseSearchURL | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | n_studies | name_changes | nonbreedingseason | notesA | notesB | notesC | notesD | other_species1 | recorder | sourceA_URL | sourceB_URL | sourceC_URL | sourceD_URL | species1_common | species1_scientific | species2_common | species2_scientific | uncertain_interaction"
"schema_9",1,22,2026-09-21 17:15:57,2026-09-21 17:15:57,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_checked_raw/Calocitta_colliei_LB_CR.csv","breeding_migration | Citation | DatabaseSearchURL | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | interaction_strength | name_changes | other_species1 | recorder | source_URL | species1_common | species1_lifestage | species1_scientific | species2_common | species2_lifestage | species2_scientific | text_excerpt | time_of_year | uncertain_interaction"
"schema_10",1,21,2026-09-03 20:38:56,2026-09-03 20:38:56,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_to_check/Cyanolyca_nanus_VS.csv","breeding_migration | DatabaseSearchURL | effect_sp1_on_sp2 | effect_sp2_on_sp1 | entry_changes | entry_date | interaction | interaction_strength | name_changes | other_species1 | recorder | source_URL | species1_common | species1_lifestage | species1_scientific | species2_common | species2_lifestage | species2_scientific | text_excerpt | time_of_year | uncertain_interaction"
"schema_11",2,32,2026-09-11 17:41:20,2026-09-15 18:28:50,"C:/Users/kelly/OneDrive - Michigan State University/Research/MetaNetworksProject/MetaNetworksProject-Working/L0/taxa_to_check/Cyclopes_dorsalis_JNS.csv","country | effect_on_tx1 | effect_on_tx2 | elevation | entry_changes | entry_date | interaction | interaction_confidence | interaction_excerpt | latitude | location | longitude | notes | recorder | source_citation | source_URL | taxa1_common | taxa1_group | taxa1_lifestage | taxa1_resolution | taxa1_scientific | taxa2_common | taxa2_group | taxa2_lifestage | taxa2_resolution | taxa2_scientific | time_of_year | timing_location_excerpt | tx1_life_history_season | tx2_life_history_season | version | year"
