raw_name,clean_name,name_category,match_status,manual_gbif_usageKey,manual_gbif_canonicalName,notes,Original.sheet,date_added
Anas crecca carolinensis,Anas crecca carolinensis,full_name,needs_review_rank_mismatch,VJFB6,Anas crecca carolinensis,?,Anas_fulvigula_IH_EP.csv,9/17/2026
Motacilla tschutschensis tschutschensis,Motacilla tschutschensis tschutschensis,full_name,needs_review_rank_mismatch,7KD6X,Motacilla tschutschensis tschutschensis,?,Motacilla_tschutschensis_IH_EP.csv,9/17/2026
A. americana,A. americana,full_name,needs_review_rank_mismatch,3Y3C6,Mareca americana,Abbreviation,Amaurospiza_concolor_VS.csv,9/17/2026
A. discors,A. discors,full_name,needs_review_rank_mismatch,9HKHF,Spatula discors,Abbreviation,Amaurospiza_concolor_VS.csv,9/17/2026
A. oratrix,A. oratrix,full_name,needs_review_rank_mismatch,CKF3,Amazona oratrix,Abbreviation,Eupsittula_canicularis_AJ.csv,9/17/2026
A. rubripes,A. rubripes,full_name,needs_review_rank_mismatch,DGPC,Anas rubripes,Abbreviation,Geothlypis_speciosa_LB.csv,9/17/2026
A. superciliosa,A. superciliosa,full_name,needs_review_rank_mismatch,DGPM,Anas superciliosa,Abbreviation,Geothlypis_speciosa_LB.csv,9/17/2026
A. wyvilliana,A. wyvilliana,full_name,needs_review_rank_mismatch,DGPR,Anas wyvilliana,Abbreviation,Geothlypis_speciosa_LB.csv,9/17/2026
C. boucardi,C. boucardi,full_name,needs_review_rank_mismatch,323MF,Crypturellus boucardi,Abbreviation,Penelopina_nigra_AJ.csv,9/17/2026
C. excellens,C. excellens,full_name,needs_review_rank_mismatch,8KQB4,Pampa excellens,Abbreviation,Campylopterus_ hemileucurus_AJ.csv,9/17/2026
C. fuscater,C. fuscater,full_name,needs_review_rank_mismatch,69G37,Catharus fuscater,Abbreviation,Henicorhina_leucosticta_LB.csv,9/17/2026
C. mexicanus,C. mexicanus,full_name,needs_review_rank_mismatch,69G2Z,Catharus mexicanus,Abbreviation,Henicorhina_leucosticta_LB.csv,9/17/2026
C. morio,C. morio,full_name,needs_review_rank_mismatch,32NLQ,Cyanocorax morio,Abbreviation,Habia_fuscicauda_LB.csv,9/17/2026
H. leucophrys,H. leucophrys,full_name,needs_review_rank_mismatch,6LQ8Y,Henicorhina leucophrys,Abbreviation,Henicorhina_leucosticta_LB.csv,9/17/2026
M. axillaris,M. axillaris,full_name,needs_review_rank_mismatch,45CZ2,Myrmotherula axillaris,Abbreviation,Psarocolius_wagleri_LB.csv,9/17/2026
M. chalybatus,M. chalybatus,full_name,needs_review_rank_mismatch,3XX3V,Manucodia chalybatus,Abbreviation,Psarocolius_wagleri_LB.csv,9/17/2026
M. exsul,M. exsul,full_name,needs_review_rank_mismatch,S28KK,Poliocrania exsul,Abbreviation,Psarocolius_wagleri_LB.csv,9/17/2026
M. ignota,M. ignota,full_name,needs_review_rank_mismatch,45CZF,Myrmotherula ignota,Abbreviation,Psarocolius_wagleri_LB.csv,9/17/2026
M. menetriesii,M. menetriesii,full_name,needs_review_rank_mismatch,45CZN,Myrmotherula menetriesii,Abbreviation,Habia_fuscicauda_LB.csv,9/17/2026
P. cyanea,P. cyanea,full_name,needs_review_rank_mismatch,4DXZR,Passerina cyanea,Abbreviation,Aimophila_rufescens_LB_LM.csv,9/17/2026
P. mentalis,P. mentalis,full_name,needs_review_rank_mismatch,DD9JH,Ceratopipra mentalis,Abbreviation,Habia_fuscicauda_LB.csv,9/17/2026
S. americana,S. americana,full_name,needs_review_rank_mismatch,4X3BD,Setophaga americana,Abbreviation,Piranga_roseogularis_LB.csv,9/17/2026
S. ruticilla,S. ruticilla,full_name,needs_review_rank_mismatch,4X3CB,Setophaga ruticilla,Abbreviation,Piranga_roseogularis_LB.csv,9/17/2026
S. striolatus,S. striolatus,full_name,needs_review_rank_mismatch,ZJF6,Crithagra striolata,Abbreviation,Spinus_notatus_SEP.csv,9/17/2026
S. torqueola,S. torqueola,full_name,needs_review_rank_mismatch,4ZD4D,Sporophila torqueola,Abbreviation,Tiaris_ olivaceus_AJ.csv,9/17/2026
T. ardesiacus,T. ardesiacus,full_name,needs_review_rank_mismatch,563FQ,Thamnomanes ardesiacus,Abbreviation,Habia_fuscicauda_LB.csv,9/17/2026
T. longirostre,T. longirostre,full_name,needs_review_rank_mismatch,57MNX,Toxostoma longirostre,Abbreviation,Geothlypis_speciosa_LB.csv,9/17/2026
V. flavifrons,V. flavifrons,full_name,needs_review_rank_mismatch,5BJKM,Vireo flavifrons,Abbreviation,Piranga_roseogularis_LB.csv,9/17/2026
Black Skimmer,Black Skimmer,full_name,needs_review_rank_mismatch,78Z8K,Rynchops niger,Common name,Buteogallus_urubitinga_GD.csv,9/17/2026
Black-and-white seedeater,Black-and-white seedeater,full_name,needs_review_rank_mismatch,4ZD3V,Sporophila luctuosa,Common name,Arremon_brunneinucha_SEP.csv,9/17/2026
Black-and-white tanager,Black-and-white tanager,full_name,needs_review_rank_mismatch,5ZVNK,Conothraupis speculigera,Common name,Arremon_brunneinucha_SEP.csv,9/17/2026
Blue-black Grassquit,Blue-black Grassquit,full_name,needs_review_rank_mismatch,5BP6K,Volatinia jacarina,Common name,Tiaris_ olivaceus_AJ.csv,9/17/2026
Chestnut-capped brush finch,Chestnut-capped brush finch,full_name,needs_review_rank_mismatch,67T7V,Arremon brunneinucha,Common name,Pipilo_ocai_SEP.csv.csv,9/17/2026
Eastern towhee,Eastern towhee,full_name,needs_review_rank_mismatch,4J6J5,Pipilo erythrophthalmus,Common name,Pipilo_ocai_SEP.csv.csv,9/17/2026
Golden-chested Tanager,Golden-chested Tanager,full_name,needs_review_rank_mismatch,KKD9,Bangsia rothschildi,Common name,Amaurolimnas_concolor_AJ.csv,9/17/2026
Roseate Spoonbill,Roseate Spoonbill,full_name,needs_review_rank_mismatch,77NWD,Platalea ajaja,Common name,Egretta_thula_EP_IH.csv ,9/17/2026
unid. small flycatcher,unid. small flycatcher,full_name,needs_review_rank_mismatch,HMW,Tyrannidae,Common name,Henicorhina_leucophrys_SEP_CR.csv,9/17/2026
Circus dossenus,Circus dossenus,full_name,needs_review_rank_mismatch,3Q54,Circus,EXTINCT: NOT IN GBIF; defaulted to genus level,Branta_sandvicensis_CR_EP.csv,9/17/2026
Lanio aurantius aurantius,Lanio aurantius aurantius,full_name,needs_review_rank_mismatch,3S78K,Lanio aurantius,Extra name,Henicorhina_leucosticta_LB.csv,9/17/2026
Vidua wilsoni incognita,Vidua wilsoni incognita,full_name,needs_review_rank_mismatch,5BDBB,Vidua wilsoni,Extra name,Vidua_wilsoni_GD_EP.csv,9/17/2026
Cairina moschata domesticus,Cairina moschata domesticus,full_name,needs_review_rank_mismatch,PBGT,Cairina moschata,Extra subspecies,Alopochen_aegyptiaca_AH_EP.csv,9/17/2026
Icterus bullockii x galbula,Icterus bullockii x galbula,full_name,needs_review_rank_mismatch,53FQ,Icterus†,HYBRID DROPPED TO GENUS,molothrus_aeneus_EP_IH.csv,9/17/2026
Larus occidentalis x glaucescens,Larus occidentalis x glaucescens,full_name,needs_review_rank_mismatch,62XFH,Larus,HYBRID DROPPED TO GENUS,Gavia_pacifica_CR_EP.csv; Hydroprogne_caspia_EP_IH.csv,9/17/2026
Cacicus leucoramphus,Cacicus leucoramphus,full_name,needs_review_rank_mismatch,5G3T4,Cacicus chrysonotus leucoramphus,Missing species,Henicorhina_leucophrys_SEP_CR.csv,9/17/2026
Cardinalis carneus,Cardinalis carneus,full_name,needs_review_rank_mismatch,5G7QB,Cardinalis cardinalis carneus,Missing species,Eupherusa_ridgwayi_AJ.csv,9/17/2026
Junco aikeni,Junco aikeni,full_name,needs_review_rank_mismatch,5J6CX,Junco hyemalis aikeni,Missing species,Aimophila_rufescens_LB_LM.csv,9/17/2026
Psaltriparus melanotis,Psaltriparus melanotis,full_name,needs_review_rank_mismatch,5KPR6,Psaltriparus minimus melanotis,Missing species,Peucaea_sumichrasti_LB.csv,9/17/2026
Basileuterus ruÔ¨Åfrons,Basileuterus ruÔ¨Åfrons,full_name,needs_review_rank_mismatch,5WD8R,Basileuterus rufifrons,Non-English charcter,?,9/17/2026
Accipiter getilis,Accipiter getilis,full_name,needs_review_rank_mismatch,CVW3C,Astur gentilis,Old name,dryocopus_pileatus.csv,9/17/2026
Agelaius phoeniceus utahensis,Agelaius phoeniceus utahensis,full_name,needs_review_rank_mismatch,5FFYQ,Agelaius phoeniceus phoeniceus,Old name,Aimophila_rufescens_LB_LM.csv,9/17/2026
Anas cyanoptera,Anas cyanoptera,full_name,needs_review_rank_mismatch,9HKY4,Spatula cyanoptera,Old name,Spatula_discors_EP.csv;Amaurospiza_concolor_VS.csv,9/17/2026
Argya affinis somervillei,Argya affinis somervillei,full_name,needs_review_rank_mismatch,7L6YC,Turdoides striata somervillei,Old name,Hierococcyx_varius_CR_EP.csv,9/17/2026
Campylorhynchus minor albicilius,Campylorhynchus minor albicilius,full_name,needs_review_rank_mismatch,QHS7,Campylorhynchus griseus,Old name,Aimophila_rufescens_LB_LM.csv,9/17/2026
Chrysotrogon caligatus,Chrysotrogon caligatus,full_name,needs_review_rank_mismatch,8VDTQ,Trogon caligatus,Old name,Cardellina_versicolor_OG.csv,9/17/2026
Coereba mexicana mexicana,Coereba mexicana mexicana,full_name,needs_review_rank_mismatch,5GJQX,Coereba flaveola mexicana,Old name,Arremonops_chloronotus_VS.csv,9/17/2026
Cyanocitta nana,Cyanocitta nana,full_name,needs_review_rank_mismatch,32NNC,Cyanolyca nanus,Old name,Pipilo_ocai_SEP_JB.csv; Campylorhynchus_megalopterus_JB.csv; Cyanolyca_nanus_VS.csv,9/17/2026
Dendroica auduboni,Dendroica auduboni,full_name,needs_review_rank_mismatch,4X3BF,Setophaga auduboni,Old name,Cardellina_versicolor_OG.csv,9/17/2026
Hylophylax poecilinotus nigrigula,Hylophylax poecilinotus nigrigula,full_name,needs_review_rank_mismatch,5LSKY,Willisornis vidua nigrigula,Old name,Euphonia_minuta_VS.csv,9/17/2026
Iridoprocene albilinea,Iridoprocene albilinea,full_name,needs_review_rank_mismatch,54CB9,Tachycineta albilinea,Old name,Henicorhina_leucosticta_LB.csv,9/17/2026
Mareca stepera,Mareca stepera,full_name,needs_review_rank_mismatch,9HJGV,Mareca strepera,Old name,Oxyura_jamaicensis_IH_EP.csv,9/17/2026
Melopelia asiatica mearnsi,Melopelia asiatica mearnsi,full_name,needs_review_rank_mismatch,7KW86,Zenaida asiatica mearnsi,Old name,Aimophila_rufescens_LB_LM.csv,9/17/2026
Otus asio,Otus asio,full_name,needs_review_rank_mismatch,3YXDW,Megascops asio,Old name,Ortalis_vetula.csv,9/17/2026
Pachysylvia darienensis,Pachysylvia darienensis,full_name,needs_review_rank_mismatch,7JVHJ,Hylophilus decurtatus darienensis,Old name,Pachysylvia_decurtata_AJ.csv,9/17/2026
Panyptila saxatilis,Panyptila saxatilis,full_name,needs_review_rank_mismatch,64ZXP,Aeronautes saxatalis,Old name,tachycineta_thalassina.csv,9/17/2026
Parula americana americana,Parula americana americana,full_name,needs_review_rank_mismatch,4X3BD,Setophaga americana,Old name,Aimophila_rufescens_LB_LM.csv,9/17/2026
Pipilo erythrophthalmus repetens,Pipilo erythrophthalmus repetens,full_name,needs_review_rank_mismatch,5KGFR,Pipilo maculatus repetens,Old name,Dendrortyx_leucophrys_AF_LB.csv; Cardellina_versicolor_OG.csv,9/17/2026
Platypsaris aglaiae albiventris,Platypsaris aglaiae albiventris,full_name,needs_review_rank_mismatch,5K4YS,Pachyramphus aglaiae albiventris,Old name,Aimophila_rufescens_LB_LM.csv,9/17/2026
Polyborus cheriway,Polyborus cheriway,full_name,needs_review_rank_mismatch,9F2RJ,Caracara plancus cheriway,Old name,Peucaea_sumichrasti_LB.csv,9/17/2026
Psilorhinus mexicanus,Psilorhinus mexicanus,full_name,needs_review_rank_mismatch,32NLQ,Cyanocorax morio,Old name,Calocitta_colliei_LB_CR.csv; Peucaea_sumichrasti_LB.csv,9/17/2026
Psomocolax oryzivorus,Psomocolax oryzivorus,full_name,needs_review_rank_mismatch,43YJK,Molothrus oryzivorus,Old name,Molothrus_oryzivorus_AH.csv,9/17/2026
Richmondena cardinalis canicaudus,Richmondena cardinalis canicaudus,full_name,needs_review_rank_mismatch,5G7Q9,Cardinalis cardinalis canicaudus,Old name,Aimophila_rufescens_LB_LM.csv,9/17/2026
Setophaga petechia (aestiva group),Setophaga petechia (aestiva group),full_name,needs_review_rank_mismatch,4X3BC,Setophaga aestiva,Old name,molothrus_aeneus_EP_IH.csv; molothrus_ater_EP_IH.csv,9/17/2026
Sporophila aurita aurita,Sporophila aurita aurita,full_name,needs_review_rank_mismatch,4ZD3L,Sporophila corvina,Old name,Arremonops_chloronotus_VS.csv,9/17/2026
Stercorarius stercorarius,Stercorarius stercorarius,full_name,needs_review_rank_mismatch,52D8P,Stercorarius pomarinus,Old name,Gavia_adamsii_IH_EP.csv,9/17/2026
Tanagra gouldi,Tanagra gouldi,full_name,needs_review_rank_mismatch,3CMPD,Euphonia gouldi,Old name,Caryothraustes_poliogaster_OG.csv; Arremonops_chloronotus_VS.csv; ,9/17/2026
Tanagra gouldi praetermissa,Tanagra gouldi praetermissa,full_name,needs_review_rank_mismatch,5H92P,Euphonia gouldi praetermissa,Old name,Euphonia_gouldi_OG.csv,9/17/2026
Tanagra nigrocincta larvata,Tanagra nigrocincta larvata,full_name,needs_review_rank_mismatch,9GCR4,Stilpnia larvata,Old name,Arremonops_chloronotus_VS.csv; Caryothraustes_poliogaster_OG.csv,9/17/2026
Tangara nigro-cincta larvata,Tangara nigro-cincta larvata,full_name,needs_review_rank_mismatch,9GCR4,Stilpnia larvata,Old name,Euphonia_gouldi_OG.csv,9/17/2026
Trichothraupis penicillata,Trichothraupis penicillata,full_name,needs_review_rank_mismatch,6H5K9,Eucometis penicillata,Old name,Habia_fuscicauda_LB.csv,9/17/2026
Vireo virescens flavoviridis,Vireo virescens flavoviridis,full_name,needs_review_rank_mismatch,5BJKN,Vireo flavoviridis,Old name,Aimophila_rufescens_LB_LM.csv,9/17/2026
Vireo virescens vividior,Vireo virescens vividior,full_name,needs_review_rank_mismatch,VP2CB,Vireo chivi,Old name,Aimophila_rufescens_LB_LM.csv,9/17/2026
Wilsonia pusilla,Wilsonia pusilla,full_name,needs_review_rank_mismatch,R4VB,Cardellina pusilla,Old name,Peucaea_sumichrasti_LB.csv; Cardellina_versicolor_OG.csv; Turdus_plebejus_AH_CR.csvÖ.,9/17/2026
Zosterops lateralis gouldi,Zosterops lateralis gouldi,full_name,needs_review_rank_mismatch,7L7MK,Zosterops lateralis chloronotus,Old name,Chrysococcyx_lucidus_CR_EP.csv,9/17/2026
Pipilo rutilus,Pipilo rutilus,full_name,needs_review_rank_mismatch,6R9XM,Melozone albicollis,Old name (took some digging to figure out),Aimophila_rufescens_LB_LM.csv,9/17/2026
Setophaga petechia (erithachorides group),Setophaga petechia (erithachorides group),full_name,needs_review_rank_mismatch,5L66B,Setophaga petechia erithachorides,Parentheses,molothrus_aeneus_EP_IH.csv,9/17/2026
Saltator straitipectus / albicollis,Saltator straitipectus / albicollis,full_name,needs_review_rank_mismatch,7BYV,Saltator,"Slash taxa, revert to genus",Molothrus_bonariensis_EP_IH.csv,9/17/2026
Setophaga striata / tigrina,Setophaga striata / tigrina,full_name,needs_review_rank_mismatch,7G5R,Setophaga,"Slash taxa, revert to genus",Parkesia_noveboracensis_AH_EP.csv,9/17/2026
Cuculus canorus telephonus,Cuculus canorus telephonus,full_name,needs_review_rank_mismatch,5GQM4,Cuculus canorus subtelephonus,Synonym,Cuculus_canorus_GD_EP.csv,9/17/2026
Hydropsalis albicollis,Hydropsalis albicollis,full_name,needs_review_rank_mismatch,485KV,Nyctidromus albicollis,Synonym,Psarocolius_montezuma_VS.csv,9/17/2026
Tanagra lauta,Tanagra lauta,full_name,needs_review_rank_mismatch,6GZCP,Euphonia hirundinacea,Synonym,Arremonops_chloronotus_VS.csv; Caryothraustes_poliogaster_OG.csv,9/17/2026
Xenops rutilans,Xenops rutilans,full_name,needs_review_rank_mismatch,DTGN7,Xenops rutilus,Synonym,Cyclarhis_gujanensis_CR.csv; Ramphocaenus_melanurus_VS_CR.csv,9/17/2026
Himantopus alexandrus,Himantopus alexandrus,full_name,needs_review_rank_mismatch,6LWTY,Himantopus mexicanus,Synonym?,Hydroprogne_caspia_EP_IH.csv,9/17/2026
Accipiter chionogaster chionogaster,Accipiter chionogaster chionogaster,full_name,needs_review_rank_mismatch,64G77,Accipiter chionogaster,Trinomial,Cassiculus_melanicterus_SEP.csv,9/17/2026
Acridotheres cristellatus,Acridotheres cristellatus,full_name,needs_review_rank_mismatch,9KHM,Acridotheres cristatellus,Typo,Acridotheres_tristis_AH_EP.csv,9/17/2026
Anas affinis,Anas affinis,full_name,needs_review_rank_mismatch,K56N,Aythya affinis,Typo,mergus_serrator.csv,9/17/2026
Anisognathus jlavinucha,Anisognathus jlavinucha,full_name,needs_review_rank_mismatch,5V3HB,Anisognathus somptuosus,Typo,Piranga_leucoptera_JNS.csv,9/17/2026
Anus cyanoptera,Anus cyanoptera,full_name,needs_review_rank_mismatch,9HKY4,Spatula cyanoptera,Typo,Cardellina_versicolor_OG.csv,9/17/2026
Artinga asteca,Artinga asteca,full_name,needs_review_rank_mismatch,C4C9X,Eupsittula nana astec,Typo,Psarocolius_montezuma_VS.csv,9/17/2026
Basoleuterus culicivours,Basoleuterus culicivours,full_name,needs_review_rank_mismatch,5WD95,Basileuterus culicivorus,Typo,Henicorhina_leucosticta_LB.csv,9/17/2026
Buteogallus epc.,Buteogallus epc.,full_name,needs_review_rank_mismatch,62HVD,Buteogallus,Typo,Tigrisoma_mexicanum_AF.csv,9/17/2026
Coragyps atriceps,Coragyps atriceps,full_name,needs_review_rank_mismatch,Y9SZ,Coragyps atratus,Typo,Icterus_auratus_OG.csv,9/17/2026
Corvus cora,Corvus cora,full_name,needs_review_rank_mismatch,YNHG,Corvus corax,Typo,Hydrobates_ homochroa_AJ.csv,9/17/2026
Fratercula cirrha,Fratercula cirrha,full_name,needs_review_rank_mismatch,6JN2R,Fratercula cirrhata,Typo,Cepphus_columba_IH_EP.csv,9/17/2026
Gaucidium palmarum,Gaucidium palmarum,full_name,needs_review_rank_mismatch,3G648,Glaucidium palmarum,Typo,Glaucidium_palmarum_AJ.csv,9/17/2026
Ghymnorhinus cyanocephalus,Ghymnorhinus cyanocephalus,full_name,needs_review_rank_mismatch,6L83T,Gymnorhinus cyanocephalus,Typo,aphelocoma_wollweberi.csv,9/17/2026
Hirundo mexicanus,Hirundo mexicanus,full_name,needs_review_rank_mismatch,6L8DR,Haemorhous mexicanus,Typo,petrochelidon_pyrrhonota.csv,9/17/2026
Iridoprocne albinea,Iridoprocne albinea,full_name,needs_review_rank_mismatch,54CB9,Tachycineta albilinea,Typo,Peucaea_sumichrasti_LB.csv,9/17/2026
Jancana spinosa,Jancana spinosa,full_name,needs_review_rank_mismatch,3QHZT,Jacana spinosa,Typo,Tyrannus_melancholicus_IH_EP.csv,9/17/2026
Larus shistisagus,Larus shistisagus,full_name,needs_review_rank_mismatch,3SBR4,Larus schistisagus,Typo,Aethia_psittacula_IH_EP.csv,9/17/2026
Leucophaeus villosus,Leucophaeus villosus,full_name,needs_review_rank_mismatch,7VPRT,Leuconotopicus villosus,Typo,dryobates_borealis.csv,9/17/2026
