"raw_name","clean_name","query_name","name_category","n_distinct_groups","group_conflict","taxa_group","usageKey","scientificName","canonicalName","rank","code","status","type","formattedName","matchType","confidence","timeTaken","domain","kingdom","phylum","subphylum","infraphylum","parvphylum","megaclass","class","domainKey","kingdomKey","phylumKey","subphylumKey","infraphylumKey","parvphylumKey","megaclassKey","classKey","value","verbatim_name","verbatim_kingdom","verbatim_phylum","verbatim_class","verbatim_checklistKey","is_alternative","authorship","genericName","specificEpithet","order","family","subfamily","genus","species","orderKey","familyKey","subfamilyKey","genusKey","speciesKey","infraspecificEpithet","subspecies","subspeciesKey","acceptedUsageKey","acceptedScientificName","note","superorder","superorderKey","form","formKey","suborder","infraorder","suborderKey","infraorderKey","subclass","infraclass","subclassKey","infraclassKey","infragenericEpithet","tribe","subgenus","tribeKey","subgenusKey","superfamily","superfamilyKey","series_zoology","supertribe","subtribe","series_zoologyKey","supertribeKey","subtribeKey","is_synonym","final_usageKey","coarsest_rank","match_status"
"A. americana","A. americana","A. americana","full_name",1,FALSE,"bird","V2","Aves","Mareca americana","CLASS","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Aves</i>","HIGHERRANK",100,10,"Eukaryota",NA,NA,"Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda",NA,"CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"A. americana",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"3Y3C6","class","manual"
"A. discors","A. discors","A. discors","full_name",1,FALSE,"bird","V2","Aves","Spatula discors","CLASS","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Aves</i>","HIGHERRANK",100,1,"Eukaryota",NA,NA,"Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda",NA,"CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"A. discors",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"9HKHF","class","manual"
"A. oratrix","A. oratrix","A. oratrix","full_name",1,FALSE,"bird","V2","Aves","Amazona oratrix","CLASS","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Aves</i>","HIGHERRANK",100,1,"Eukaryota",NA,NA,"Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda",NA,"CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"A. oratrix",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"CKF3","class","manual"
"A. rubripes","A. rubripes","A. rubripes","full_name",1,FALSE,"bird","V2","Aves","Anas rubripes","CLASS","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Aves</i>","HIGHERRANK",100,3,"Eukaryota",NA,NA,"Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda",NA,"CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"A. rubripes",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"DGPC","class","manual"
"A. superciliosa","A. superciliosa","A. superciliosa","full_name",1,FALSE,"bird","V2","Aves","Anas superciliosa","CLASS","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Aves</i>","HIGHERRANK",100,8,"Eukaryota",NA,NA,"Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda",NA,"CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"A. superciliosa",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"DGPM","class","manual"
"A. wyvilliana","A. wyvilliana","A. wyvilliana","full_name",1,FALSE,"bird","V2","Aves","Anas wyvilliana","CLASS","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Aves</i>","HIGHERRANK",100,3,"Eukaryota",NA,NA,"Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda",NA,"CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"A. wyvilliana",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"DGPR","class","manual"
"Abeillia abeillei","Abeillia abeillei","Abeillia abeillei","full_name",1,FALSE,"bird","8JWF","Abeillia abeillei (R. Lesson & Delattre, 1839)","Abeillia abeillei","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Abeillia</i> <i>abeillei</i> (R. Lesson & Delattre, 1839)","EXACT",100,10,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Abeillia abeillei",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"(R. Lesson & Delattre, 1839)","Abeillia","abeillei","Apodiformes","Trochilidae","Trochilinae","Abeillia","Abeillia abeillei","Q9","HHZ","KGD","LLT","8JWF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"8JWF","class","matched"
"Abroscopus albogularis","Abroscopus albogularis","Abroscopus albogularis","full_name",1,FALSE,"bird","8M9J","Abroscopus albogularis (F. Moore, 1854)","Abroscopus albogularis","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Abroscopus</i> <i>albogularis</i> (F. Moore, 1854)","EXACT",100,10,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Abroscopus albogularis",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"(F. Moore, 1854)","Abroscopus","albogularis","Passeriformes","Cettiidae",NA,"Abroscopus","Abroscopus albogularis","3RL","7Y5",NA,"LRV","8M9J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"8M9J","class","matched"
"Abroscopus superciliaris","Abroscopus superciliaris","Abroscopus superciliaris","full_name",1,FALSE,"bird","8M9L","Abroscopus superciliaris (Blyth, 1859)","Abroscopus superciliaris","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Abroscopus</i> <i>superciliaris</i> (Blyth, 1859)","EXACT",100,12,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Abroscopus superciliaris",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"(Blyth, 1859)","Abroscopus","superciliaris","Passeriformes","Cettiidae",NA,"Abroscopus","Abroscopus superciliaris","3RL","7Y5",NA,"LRV","8M9L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"8M9L","class","matched"
"Acanthagenys rufogularis","Acanthagenys rufogularis","Acanthagenys rufogularis","full_name",1,FALSE,"bird","8SZJ","Acanthagenys rufogularis Gould, 1838","Acanthagenys rufogularis","SPECIES","ZOOLOGICAL","ACCEPTED","SCIENTIFIC","<i>Acanthagenys</i> <i>rufogularis</i> Gould, 1838","EXACT",100,16,"Eukaryota","Animalia","Chordata","Vertebrata","Gnathostomata","Osteichthyes","Tetrapoda","Aves","CS5HF","N","CH2","8V4V3","8V4V5","8VVWB","9CK8W","V2",FALSE,"Acanthagenys rufogularis",NA,NA,"Aves","7ddf754f-d193-4cc9-b351-99906754a03b",FALSE,"Gould, 1838","Acanthagenys","rufogularis","Passeriformes","Meliphagidae",NA,"Acanthagenys","Acanthagenys rufogularis","3RL","CKJ",NA,"LYB","8SZJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,"8SZJ","class","matched"
