"raw_name","query_name","gbif_resolved_name","checklist_source","manual_checklist_id","manual_checklist_name","notes","date_added"
"Acanthis hornemanni","Acanthis hornemanni","Acanthis hornemanni","avilist_2025",,,,"2026-09-23"
"Accipiter chionogaster","Accipiter chionogaster","Accipiter chionogaster","avilist_2025",,,,"2026-09-23"
"Accipiter chionogaster chionogaster","Accipiter chionogaster chionogaster","Accipiter chionogaster","avilist_2025",,,,"2026-09-23"
"Accipiter cirrhocephalus","Accipiter cirrhocephalus","Accipiter cirrocephalus","avilist_2025",,,,"2026-09-23"
"Accipiter cooperi","Accipiter cooperi","Accipiter cooperii","avilist_2025",,,,"2026-09-23"
"Accipiter cooperii","Accipiter cooperii","Accipiter cooperii","avilist_2025",,,,"2026-09-23"
"Accipiter melanoleucus","Accipiter melanoleucus","Accipiter melanoleucus","avilist_2025",,,,"2026-09-23"
"Accipter cooperii","Accipter cooperii","Accipiter cooperii","avilist_2025",,,,"2026-09-23"
"Aidemosyne modesta","Aidemosyne modesta","Neochmia modesta","avilist_2025",,,,"2026-09-23"
"Amazilia violiceps","Amazilia violiceps","Leucolia violiceps","avilist_2025",,,,"2026-09-23"
"Amblyomma cajennense","Amblyomma cajennense","Amblyomma cajennense","avilist_2025",,,,"2026-09-23"
"Anas americana","Anas americana","Anas americana","avilist_2025",,,,"2026-09-23"
"Anas carolinensis","Anas carolinensis","Anas carolinensis","avilist_2025",,,,"2026-09-23"
"Argya affinis somervillei","Argya affinis somervillei","Turdoides striata somervillei","avilist_2025",,,,"2026-09-23"
"Argya malcomi","Argya malcomi","Turdoides malcolmi","avilist_2025",,,,"2026-09-23"
"Aves","Aves","Aves","avilist_2025",,,,"2026-09-23"
"Aves spp.","Aves","Aves","avilist_2025",,,,"2026-09-23"
"Avian sp.","Avian","Aves","avilist_2025",,,,"2026-09-23"
"Branta leucopsis x Anser indicus","Branta leucopsis x Anser indicus","Anser indicus x Branta leucopsis","avilist_2025",,,,"2026-09-23"
"C. excellens","C. excellens","Pampa excellens","avilist_2025",,,,"2026-09-23"
"Calliphlox bryantae","Calliphlox bryantae","Calliphlox bryantae","avilist_2025",,,,"2026-09-23"
"Cercotrichas coryphoeus","Cercotrichas coryphoeus","Erythropygia coryphoeus","avilist_2025",,,,"2026-09-23"
"Cercotrichas quadrivirgata","Cercotrichas quadrivirgata","Erythropygia quadrivirgata","avilist_2025",,,,"2026-09-23"
"Charadrius montanus","Charadrius montanus","Charadrius montanus","avilist_2025",,,,"2026-09-23"
"Charadrius nivosus","Charadrius nivosus","Charadrius nivosus","avilist_2025",,,,"2026-09-23"
"Charadrius wilsonia","Charadrius wilsonia","Charadrius wilsonia","avilist_2025",,,,"2026-09-23"
"Charadrius wilsonia wilsonia","Charadrius wilsonia wilsonia","Charadrius wilsonia","avilist_2025",,,,"2026-09-23"
"Colaptes cafer","Colaptes cafer","Colaptes cafer","avilist_2025",,,,"2026-09-23"
