incorrect,correct,query_name,name_category,note
Accipiter getilis,Accipiter gentilis,Accipiter getilis,full_name,
Accipitiridae sp.,Accipitridae sp.,Accipitiridae,higher_rank_expected,No match because of too little confidence
Accipitreidae sp.,Accipitridae sp.,Accipitreidae,higher_rank_expected,No match because of too little confidence
Accipitrid sp.,Accipitridae sp.,Accipitrid,higher_rank_expected,
Acridotheres cristellatus,Acridotheres cristatellus,Acridotheres cristellatus,full_name,
Alcid sp.,Alcidae sp.,Alcid,higher_rank_expected,No match because of too little confidence
Anamolospiza imberbis,Anomalospiza imberbi,Anamolospiza imberbis,full_name,No match because of too little confidence
Antidae sp.,Anatidae sp.,Antidae,higher_rank_expected,No match because of too little confidence
Apcodidae sp.,Apodidae sp.,Apcodidae,higher_rank_expected,No match because of too little confidence
Aquilla Chrysaetos,Aquila Chrysaetos,Aquilla Chrysaetos,full_name,No match because of too little confidence
Ardeitae spp.,Ardeidae sp.,Ardeitae,higher_rank_expected,No match because of too little confidence
Areid sp.,Ardeid sp.,Areid,higher_rank_expected,No match because of too little confidence
Avian sp.,Aves sp.,Avian,higher_rank_expected,No match because of too little confidence
Black Skimmer,Rynchips niger,Black Skimmer,full_name,No match because of too little confidence
Blue-black Grassquit,Volatinia jacarina,Blue-black Grassquit,full_name,
Bonsana umbellus,Bonasa umbellus,Bonsana umbellus,full_name,No match because of too little confidence
Bubo Virginianus,Bubo virginianus,Bubo Virginianus,full_name,No match because of too little confidence
Buteogallus epc.,Buteogallus sp.,Buteogallus epc.,full_name,
Camplyioterus Hemileucurcus,Campylopterus hemileucurus,Camplyioterus Hemileucurcus,full_name,
Cardinal sp.,Cardinalidae sp.,Cardinal,higher_rank_expected,Multiple equal matches for Cardinal
Cardinalis carneus,Cardinalis cardinalis carneus,Cardinalis carneus,full_name,
Cassidix nicaraguensis,Quiscalus nicaraguensis,Cassidix nicaraguensis,full_name,
Centurus hoffmannii,Melanerpes hoffmannii,Centurus hoffmannii,full_name,
Centurus pucherani,Melanerpes pucherani,Centurus pucherani,full_name,
Columbigallina talpacoti rufipennis,Columbina talpacoti rufipennis,Columbigallina talpacoti rufipennis,full_name,
Contopus richardsonii,Contopus sordidulus ,Contopus richardsonii,full_name,
Corvus cora,Corvus corax,Corvus cora,full_name,
Cuculus canorus telephonus,Cuculus canorus subtelephonus,Cuculus canorus telephonus,full_name,
Driophlox fuscicauda,Habia fuscicauda,Driophlox fuscicauda,full_name,
Driophlox gutturalis,Habia gutturalis,Driophlox gutturalis,full_name,
Eopsaltria capito,,Eopsaltria capito,full_name,
Fratercula cirrha,,Fratercula cirrha,full_name,
Galbula Galbula,,Galbula Galbula,full_name,
Gaucidium palmarum,,Gaucidium palmarum,full_name,
Ghymnorhinus cyanocephalus,,Ghymnorhinus cyanocephalus,full_name,
Golden-chested Tanager,,Golden-chested Tanager,full_name,
Himantopus alexandrus,,Himantopus alexandrus,full_name,
Hirundo mexicanus,,Hirundo mexicanus,full_name,
Hydropsalis albicollis,,Hydropsalis albicollis,full_name,
Icterus bullockii x galbula,,Icterus bullockii x galbula,full_name,
Jancana spinosa,,Jancana spinosa,full_name,
Larus Canus,,Larus Canus,full_name,
Larus mongolicus,,Larus mongolicus,full_name,
Larus occidentalis x glaucescens,,Larus occidentalis x glaucescens,full_name,
Larus shistisagus,,Larus shistisagus,full_name,
Leucophaeus villosus,,Leucophaeus villosus,full_name,
M. D. dives,,M. D. dives,full_name,
M. leucophthalma,,M. leucophthalma,full_name,
M. menetriesii,Myrmotherula menetriesii,M. menetriesii,full_name,
Mareca stepera,,Mareca stepera,full_name,
Megus merganser,,Megus merganser,full_name,
Melanodryas cyanus,,Melanodryas cyanus,full_name,
Melanoptila glabrirostris cozumelae,,Melanoptila glabrirostris cozumelae,full_name,
Molothrus aenus,,Molothrus aenus,full_name,
Morococcyx erthropygus,,Morococcyx erthropygus,full_name,
Myarichus cinerascens,,Myarichus cinerascens,full_name,
Myiobius sulphureipygius sulphureipygius,,Myiobius sulphureipygius sulphureipygius,full_name,
P. mentalis,,P. mentalis,full_name,
Pachysylvia darienensis,,Pachysylvia darienensis,full_name,
Pangara rufigula,,Pangara rufigula,full_name,
Panyptila saxatilis,,Panyptila saxatilis,full_name,
Parkesia noveboracensis limnaeus,,Parkesia noveboracensis limnaeus,full_name,
Parkesia noveboracensis notabilis,,Parkesia noveboracensis notabilis,full_name,
Parkesia noveboracensis novaboracensis,,Parkesia noveboracensis novaboracensis,full_name,
Phloeoceastes guatemalensis,,Phloeoceastes guatemalensis,full_name,
Pica hundonia,,Pica hundonia,full_name,
Pica pica anderssoni,,Pica pica anderssoni,full_name,
Pipilo erythrophthalmus repetens,,Pipilo erythrophthalmus repetens,full_name,
Pipromorpha oleaginea,,Pipromorpha oleaginea,full_name,
Psaltriparus mimus,,Psaltriparus mimus,full_name,
Psilorhinus mexicanus,,Psilorhinus mexicanus,full_name,
Puffinus iherminieri,,Puffinus iherminieri,full_name,
Pyrrhula phyrrhula,,Pyrrhula phyrrhula,full_name,
Ramphastos sufuratus,,Ramphastos sufuratus,full_name,
Roseate Spoonbill,,Roseate Spoonbill,full_name,
S. americana,,S. americana,full_name,
S. ruticilla,,S. ruticilla,full_name,
S. torqueola,,S. torqueola,full_name,
Saltator straitipectus / albicollis,,Saltator straitipectus / albicollis,full_name,
Setophaga petechia (aestiva group),,Setophaga petechia (aestiva group),full_name,
Setophaga petechia (erithachorides group),,Setophaga petechia (erithachorides group),full_name,
Setophaga striata / tigrina,,Setophaga striata / tigrina,full_name,
Stercorarius stercorarius,,Stercorarius stercorarius,full_name,
Sterna fosteri,,Sterna fosteri,full_name,
Sturnella magna / neglecta,,Sturnella magna / neglecta,full_name,
T. ardesiacus,,T. ardesiacus,full_name,
Tanagra gouldi,,Tanagra gouldi,full_name,
Tanagra lauta,,Tanagra lauta,full_name,
Tanagra nigrocincta larvata,,Tanagra nigrocincta larvata,full_name,
Trachycineta bicolor,,Trachycineta bicolor,full_name,
Trichothraupis penicillata,,Trichothraupis penicillata,full_name,
Troglodytes grenadensis,,Troglodytes grenadensis,full_name,
Troglodytes mesoleucus,,Troglodytes mesoleucus,full_name,
Troglodytes musicus,,Troglodytes musicus,full_name,
Urile aalge,,Urile aalge,full_name,
V. flavifrons,,V. flavifrons,full_name,
Veniliornis afnis,,Veniliornis afnis,full_name,
Vidua wilsoni incognita,,Vidua wilsoni incognita,full_name,
Vidua wilsoni wilsoni,,Vidua wilsoni wilsoni,full_name,
Vireo flavirordis,,Vireo flavirordis,full_name,
Xenops mexicanus,,Xenops mexicanus,full_name,
Zosterops lateralis gouldi,,Zosterops lateralis gouldi,full_name,
coereba Flaveola,,coereba Flaveola,full_name,
undi. Dendrocolaptes,,undi. Dendrocolaptes,full_name,
undi. Denrocincla,,undi. Denrocincla,full_name,
unid. Accipiter hawl,,unid. Accipiter hawl,full_name,
